"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
12471,"宅地(土地)","住宅地","36203","徳島県","小松島市","横須町","南小松島","14",6000000,"90000","","220",27000,"ほぼ長方形","10.0","","","","","","北","市道",4.5,"第１種中高層住居専用地域",60,200,"平成23年第１四半期","",""
12472,"農地","","36203","徳島県","小松島市","横須町","","",2400000,"","","260",,"","","","","","","","","",,"",,,"平成23年第２四半期","",""
12473,"宅地(土地と建物)","住宅地","36489","徳島県","三好郡東みよし町","中庄","三加茂","10",18000000,"","","750",,"ほぼ長方形","23.2","910","昭和58年","鉄骨造","住宅、倉庫","","南","町道",5.5,"都市計画区域外",,,"平成22年第４四半期","",""
12474,"宅地(土地と建物)","住宅地","36489","徳島県","三好郡東みよし町","中庄","三加茂","8",21000000,"","","250",,"ほぼ正方形","18.2","110","平成22年","木造","住宅","","北東","私道",5.0,"都市計画区域外",,,"平成22年第２四半期","",""
12475,"農地","","36489","徳島県","三好郡東みよし町","中庄","","",21000000,"","","1400",,"","","","","","","","","",,"",,,"平成22年第２四半期","",""
12476,"宅地(土地と建物)","住宅地","36203","徳島県","小松島市","和田島町","阿波赤石","30分?60分",20000000,"","","120",,"長方形","7.0","70","平成3年","木造","住宅","","西","市道",6.0,"第１種住居地域",60,200,"平成23年第４四半期","",""
12477,"宅地(土地)","住宅地","36203","徳島県","小松島市","和田島町","阿波赤石","30分?60分",3100000,"50000","","200",15000,"不整形","20.0","","","","","","北","市道",4.0,"市街化調整区域",70,200,"平成23年第４四半期","",""
12478,"宅地(土地と建物)","住宅地","36203","徳島県","小松島市","和田島町","阿波赤石","30分?60分",2000000,"","","360",,"不整形","17.0","160","昭和53年","ＲＣ","住宅","","北","私道",4.0,"市街化調整区域",,,"平成23年第３四半期","",""
12479,"宅地(土地と建物)","住宅地","36489","徳島県","三好郡東みよし町","西庄","三加茂","12",19000000,"","","500",,"不整形","","280","平成13年","ＲＣ","","","西","町道",4.2,"都市計画区域外",,,"平成22年第２四半期","",""
12480,"宅地(土地と建物)","住宅地","36203","徳島県","小松島市","和田島町","阿波赤石","30分?60分",12000000,"","","520",,"ほぼ整形","22.0","170","平成2年","木造","住宅","","南西","市道",2.2,"市街化調整区域",70,200,"平成23年第３四半期","",""
12481,"宅地(土地と建物)","住宅地","36203","徳島県","小松島市","和田島町","阿波赤石","30分?60分",2000000,"","","630",,"不整形","29.0","310","昭和54年","鉄骨造","倉庫","","南東","道路",2.0,"市街化調整区域",,,"平成23年第２四半期","",""
12482,"農地","","36203","徳島県","小松島市","和田島町","","",1300000,"","","1200",,"","","","","","","","","",,"",,,"平成23年第１四半期","",""
12483,"林地","","36204","徳島県","阿南市","阿瀬比町","","",100000,"","","1700",,"","","","","","","","","",,"",,,"平成23年第４四半期","",""
12484,"農地","","36489","徳島県","三好郡東みよし町","西庄","","",750000,"","","410",,"","","","","","","","","",,"",,,"平成22年第４四半期","",""
12485,"林地","","36489","徳島県","三好郡東みよし町","西庄","","",100000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"平成22年第１四半期","",""
12486,"宅地(土地と建物)","住宅地","36489","徳島県","三好郡東みよし町","東山","箸蔵","1H30?2H",5100000,"","","630",,"不整形","50.0m以上","50","","","","","東","県道",3.0,"都市計画区域外",,,"平成22年第２四半期","",""
